,,,,,,
,Santa’s Elves,Montrose,6 Dec 2015,50m Back,57.25,2nd in heat
,Santa’s Elves,Montrose,6 Dec 2015,50m Breast,1:05.81,3rd in heat
,Santa’s Elves,Montrose,6 Dec 2015,100m IM,2:10.31,3rd in heat
,Seed Times,St John’s,10 Feb 2016,50m Back,57.25,
,Seed Times,St John’s,10 Feb 2016,50m Breast,1:05.81,
,Seed Times,St John’s,10 Feb 2016,50m Fly,1:10.94,
,Seed Times,St John’s,10 Feb 2016,50m Free,49.55,
,Carnegie,Dunfermline,27 Feb 2016,100m Back,1:54.66,6th in heat
,Carnegie,Dunfermline,27 Feb 2016,100m Breast,2:08.87,
,DCA Mini Meet,Olympia,6 Mar 2016,50m Fly,1:02.51,27th out of 
,DCA Mini Meet,Olympia,6 Mar 2016,50m Breast,59.44,29th out of 32
,DCA Mini Meet,Olympia,6 Mar 2016,50m Back,50.77,32nd out of 34
,DCA Mini Meet,Olympia,6 Mar 2016,50m Free,47.92,36nd out of 38
,Warrender JAGS,Prestonpans,27 Mar 2016,50m Fly,1:13.87,30th out of 30
,Warrender JAGS,Prestonpans,27 Mar 2016,50m Breast,1:01.06,30th out of 31
,Warrender JAGS,Prestonpans,27 Mar 2016,50m Back,DQ,
,Warrender JAGS,Prestonpans,27 Mar 2016,50m Free,49.55,33rd out of 34
,Warrender JAGS,Prestonpans,27 Mar 2016,200m Free,3:47.76,26th out of 26
,DCA Dev Meet,Olympia,23 Apr 2016,100m Back,1:50.81,8th out of 11
,DCA Dev Meet,Olympia,23 Apr 2016,100m Free,1:38.78,5th out of 10
,Dun Jr Sprints,Dunfermline,4 Jun 2016,50m Back,50.63,
,Dun Jr Sprints,Dunfermline,4 Jun 2016,50m Breast,57.64,
,Dun Jr Sprints,Dunfermline,4 Jun 2016,50m Fly,1:07.56,
,Dun Jr Sprints,Dunfermline,4 Jun 2016,50m Free,42.91,
,DCA Stars Future,Olympia,12 Jun 2016,100m IM,1:52.35,28th out of 28
,DCA Stars Future,Olympia,12 Jun 2016,100m Breast,2:00.64,25th out of 27
,DCA Stars Future,Olympia,12 Jun 2016,100m Back,1:45.31,23rd out of 24
,DCA Stars Future,Olympia,12 Jun 2016,100m Free,1:35.79,33rd out of 34
