,,,,,,,
,50m Back,Santa’s Elves,Montrose,12/6/15,57.25,,2nd in heat
,50m Back,Seed Times,St John’s,2/10/16,57.25,,
,50m Back,DCA Mini Meet,Olympia,3/6/16,50.77,-6.48,32 out of 34
,50m Back,Warrender,Prestonp,3/27/16,DQ,,
,50m Back,Dun Jr Sprints,Dunf.,6/4/16,50.63,-0.14,
,50m Breast,Santa’s Elves,Montrose,12/6/15,1:05.81,,3rd in heat
,50m Breast,Seed Times,St John’s,2/10/16,1:05.81,,
,50m Breast,DCA Mini Meet,Olympia,3/6/16,59.44,-6.37,29 out of 32
,50m Breast,Warrender,Prestonp,3/27/16,1:01.06,+2.5,30 out of 31
,50m Breast,Dun Jr Sprints,Dunf.,6/4/16,57.64,-1.80,
,50m Fly,Seed Times,St John’s,2/10/16,1:10.94,,
,50m Fly,DCA Mini Meet,Olympia,3/6/16,1:02.51,-8.43,27 out of 27
,50m Fly,Warrender,Prestonp,3/27/16,1:13.87,+11.36,30 out of 30
,50m Fly,Dun Jr Sprints,Dunf.,6/4/16,1:07.56,-6.31,
,50m Free,Seed Times,St John’s,2/10/16,49.55,,
,50m Free,DCA Mini Meet,Olympia,3/6/16,47.92,-1.63,36 out of 38
,50m Free,Warrender,Prestonp,3/27/16,49.55,+1.63,33 out of 34
,50m Free,Dun Jr Sprints,Dunf.,6/4/16,42.91,-6.64,
,100m Back,Carnegie,Dunf.,2/27/16,1:54.66,,6th in heat
,100m Back,DCA Dev Meet,Olympia,4/23/16,1:50.81,-3.85,2nd in heat
,100m Back,DCA Stars,Olympia,6/12/16,1:45.31,-5.50,
,100m Breast,Carnegie,Dunf.,2/27/16,2:08.87,,
,100m Breast,DCA Stars,Olympia,6/12/16,2:00.64,-8.23,
,100m Free,DCA Dev Meet,Olympia,4/23/16,1:38.78,,1st in heat
,100m Free,DCA Stars,Olympia,6/12/16,1:35.79,-2.99,
,100m IM,Santa’s Elves,Montrose,12/6/15,2:10.31,,3rd in heat
,100m IM,DCA Stars,Olympia,6/12/16,1:52.35,-17.96,
